06.06.2025                                                                                                    Dynamic List Display                                                                                                                                                             1


	/BIC/MD_RS	OBJVERS	CHANGED	/BIC/MD_RS_NK	/BIC/MD_PH	/BIC/MD_RS_TP	/BIC/MD_RS_EN	/BIC/MD_RS_OF	/BIC/MD_RS_FY	/BIC/MD_RS_LY	/BIC/MD_RS_PL	/BIC/MD_AD	/BIC/MD_RS_AS	/BIC/MD_RS_BN	/BIC/MD_RS_PT	/BIC/MD_RS_PA	/BIC/MD_RS_AR	/BIC/MD_RS_YO
	      0025	A		AW00000025	357-555-0161	VALUE ADDED RESELLER	          18	S	         2006	         2008	MOUNTAIN	CORPORATE OFFICE	     800.000	UNITED SECURITY	           02	           0	      80.000	         2001
	      0026	A		AW00000026	418-555-0115	SPECIALTY BIKE SHOP	          34	A	         2005	         2006	ROAD	1 CORPORATE CENTER DRIVE	   1.500.000	PRIMARY BANK & RESERVE	           03	         600	     150.000	         1987
	      0027	A		AW00000027	284-555-0185	WAREHOUSE	          64	Q	         2005	         2008	MOUNTAIN	100 FIFTH DRIVE	   3.000.000	GUARDIAN BANK	           00	           0	     300.000	         2000
	      0028	A		AW00000028	972-555-0163	VALUE ADDED RESELLER	          17	S	         2007	         2008	TOURING	2575 BLOOR STREET EAST	     800.000	RESERVE SECURITY	           01	           0	      80.000	         1991
	      0029	A		AW00000029	344-555-0144	SPECIALTY BIKE SHOP	          37	A	         2005	         2006	MOUNTAIN	STATION E	   1.500.000	INTERNATIONAL BANK	           02	           0	     150.000	         1999
	      0030	A		AW00000030	783-555-0110	WAREHOUSE	          67	Q	         2006	         2008	ROAD	575 RUE ST AMABLE	   3.000.000	INTERNATIONAL SECURITY	           03	         600	     300.000	         1995
	      0031	A		AW00000031	1 (11) 500 555-0198	VALUE ADDED RESELLER	          16	S	         2007	         2008	ROAD	21105, RUE DE VARENNE	     800.000	PRIMARY INTERNATIONAL	           03	         200	      80.000	         1998
	      0032	A		AW00000032	1 (11) 500 555-0182	SPECIALTY BIKE SHOP	          40	A	         0000	         0000	ROAD	RO?STR 2248	   1.500.000	UNITED SECURITY	           02	           0	     150.000	         1999
	      0033	A		AW00000033	1 (11) 500 555-0189	WAREHOUSE	          70	Q	         2007	         2008	MOUNTAIN	CTRCRT BUS PK/995-27 PAUL ST N	   3.000.000	PRIMARY BANK & RESERVE	           01	           0	     300.000	         1997
	      0034	A		AW00000034	1 (11) 500 555-0181	VALUE ADDED RESELLER	          15	S	         2007	         2008	TOURING	SCIENCE PARK SOUTH, BIRCHWOOD	     800.000	GUARDIAN BANK	           00	           0	      80.000	         2003
	      0035	A		AW00000035	623-555-0153	SPECIALTY BIKE SHOP	          43	A	         0000	         0000	ROAD	2532 FAIRGROUNDS ROAD	   1.500.000	RESERVE SECURITY	           01	           0	     150.000	         1996
	      0036	A		AW00000036	415-555-0147	WAREHOUSE	          73	Q	         2005	         2008	ROAD	6900 WILLIAM RICHARDSON CT.	   3.000.000	INTERNATIONAL BANK	           02	           0	     300.000	         2002
	      0037	A		AW00000037	724-555-0161	VALUE ADDED RESELLER	          14	S	         2006	         2008	ROAD	35525-9TH STREET SW	     800.000	INTERNATIONAL SECURITY	           03	         600	      80.000	         1995
	      0038	A		AW00000038	867-555-0114	SPECIALTY BIKE SHOP	          46	A	         2007	         2008	TOURING	640 SOUTH 994TH ST. W.	   1.500.000	PRIMARY INTERNATIONAL	           00	           0	     150.000	         2001
	      0039	A		AW00000039	377-555-0132	WAREHOUSE	          76	Q	         2006	         2008	ROAD	74400 FRANCE AVENUE SOUTH	   3.000.000	UNITED SECURITY	           01	           0	     300.000	         1994
	      0040	A		AW00000040	417-555-0182	VALUE ADDED RESELLER	          13	S	         2005	         2006	MOUNTAIN	509 NAFTA BOULEVARD	     800.000	PRIMARY BANK & RESERVE	           02	           0	      80.000	         2000
	      0041	A		AW00000041	244-555-0127	SPECIALTY BIKE SHOP	          49	A	         2006	         2008	ROAD	25001 MONTAGUE EXPRESSWAY	   1.500.000	GUARDIAN BANK	           03	         600	     150.000	         1993
	      0042	A		AW00000042	911-555-0165	WAREHOUSE	          79	Q	         0000	         0000	MOUNTAIN	4460 NEWPORT CENTER DRIVE	   3.000.000	RESERVE SECURITY	           03	       1.000	     300.000	         1999
	      0043	A		AW00000043	482-555-0174	VALUE ADDED RESELLER	          12	S	         2006	         2008	MOUNTAIN	2575 WEST 2700 SOUTH	     800.000	INTERNATIONAL BANK	           02	           0	      80.000	         1992
	      0044	A		AW00000044	552-555-0141	SPECIALTY BIKE SHOP	          48	A	         2007	         2008	TOURING	2525 ELECTRICS BLVD.	   1.500.000	INTERNATIONAL SECURITY	           01	           0	     150.000	         1998
	      0045	A		AW00000045	333-555-0113	WAREHOUSE	          80	Q	         2005	         2008	ROAD	2550 HIGH STREET	   3.000.000	PRIMARY INTERNATIONAL	           00	           0	     300.000	         1991
	      0046	A		AW00000046	653-555-0159	VALUE ADDED RESELLER	          11	S	         2006	         2006	ROAD	2512-4TH AVE SW	     800.000	UNITED SECURITY	           01	           0	      80.000	         1997
	      0047	A		AW00000047	141-555-0172	SPECIALTY BIKE SHOP	          47	A	         2005	         2008	MOUNTAIN	55 LAKESHORE BLVD EAST	   1.500.000	PRIMARY BANK & RESERVE	           02	           0	     150.000	         1990
	      0048	A		AW00000048	164-555-0118	WAREHOUSE	          81	Q	         2007	         2008	TOURING	6333 COTE VERTU	   3.000.000	GUARDIAN BANK	           03	         600	     300.000	         1996
	      0049	A		AW00000049	1 (11) 500 555-0181	VALUE ADDED RESELLER	          10	S	         2007	         2008	TOURING	69, BOULEVARD TREMBLAY	     800.000	RESERVE SECURITY	           00	           0	      80.000	         1989
	      0050	A		AW00000050	1 (11) 500 555-0112	SPECIALTY BIKE SHOP	          46	A	         2007	         2007	MOUNTAIN	BUNDESALLEE 9571	   1.500.000	INTERNATIONAL BANK	           01	           0	     150.000	         1995
	      0051	A		AW00000051	1 (11) 500 555-0133	WAREHOUSE	          82	Q	         2007	         2008	TOURING	2-252 BEAUCHAMP ROAD	   3.000.000	INTERNATIONAL SECURITY	           02	           0	     300.000	         1988
	      0052	A		AW00000052	1 (11) 500 555-0155	VALUE ADDED RESELLER	           9	S	         2007	         2008	TOURING	PHOENIX WAY, CIRENCESTER	     300.000	PRIMARY INTERNATIONAL	           03	         600	      30.000	         1994
	      0053	A		AW00000053	479-555-0129	SPECIALTY BIKE SHOP	          45	A	         2007	         2008	TOURING	99 EDGEWATER DRIVE	   1.500.000	UNITED SECURITY	           03	         600	     150.000	         1987
	      0054	A		AW00000054	140-555-0128	WAREHOUSE	          83	Q	         2005	         2008	ROAD	ATTN: ACCOUNTS PAYABLE	   3.000.000	PRIMARY BANK & RESERVE	           02	           0	     300.000	         1993
	      0055	A		AW00000055	932-555-0163	VALUE ADDED RESELLER	           8	S	         2007	         2008	TOURING	25300 BIDDLE ROAD	     300.000	GUARDIAN BANK	           01	           0	      30.000	         1986
	      0056	A		AW00000056	461-555-0118	SPECIALTY BIKE SHOP	          44	A	         2006	         2008	ROAD	GATEWAY	   1.500.000	RESERVE SECURITY	           00	           0	     150.000	         1992
	      0057	A		AW00000057	260-555-0130	WAREHOUSE	          84	Q	         2005	         2006	ROAD	25149 HOWARD DR	   3.000.000	INTERNATIONAL BANK	           01	           0	     300.000	         1985
	      0058	A		AW00000058	436-555-0160	VALUE ADDED RESELLER	           7	S	         2005	         2007	ROAD	63 W MONROE	     300.000	INTERNATIONAL SECURITY	           02	           0	      30.000	         1991
	      0059	A		AW00000059	385-555-0140	SPECIALTY BIKE SHOP	          43	A	         2007	         2008	TOURING	70259 WEST SUNNYVIEW AVE	   1.500.000	PRIMARY INTERNATIONAL	           03	         600	     150.000	         1984
	      0060	A		AW00000060	183-555-0111	WAREHOUSE	          85	Q	         0000	         0000	ROAD	60750 SAN CLEMENTE	   3.000.000	UNITED SECURITY	           00	           0	     300.000	         1990
	      0061	A		AW00000061	452-555-0179	VALUE ADDED RESELLER	           6	S	         2006	         2008	MOUNTAIN	RECEIVING	     300.000	PRIMARY BANK & RESERVE	           01	           0	      30.000	         1983
	      0062	A		AW00000062	351-555-0130	SPECIALTY BIKE SHOP	          42	A	         2006	         2008	ROAD	PO BOX 08050	   1.500.000	GUARDIAN BANK	           02	           0	     150.000	         1989
	      0063	A		AW00000063	565-555-0181	WAREHOUSE	          86	Q	         2005	         2008	MOUNTAIN	PO BOX 2257	   3.000.000	RESERVE SECURITY	           03	         600	     300.000	         1982
	      0064	A		AW00000064	290-555-0196	VALUE ADDED RESELLER	           5	S	         2007	         2008	TOURING	3255 FRONT STREET WEST	     300.000	INTERNATIONAL BANK	           03	         200	      30.000	         1988
	      0065	A		AW00000065	737-555-0163	SPECIALTY BIKE SHOP	          41	A	         2006	         2008	MOUNTAIN	2550 SIGNET DRIVE	   1.500.000	INTERNATIONAL SECURITY	           02	           0	     150.000	         1981
	      0066	A		AW00000066	394-555-0176	WAREHOUSE	          87	Q	         2006	         2007	ROAD	6777 KINGSWAY	   3.000.000	PRIMARY INTERNATIONAL	           01	           0	     300.000	         1987
	      0067	A		AW00000067	1 (11) 500 555-0127	VALUE ADDED RESELLER	           4	S	         2006	         2008	ROAD	12, RUE DES GRANDS CHAMPS	     300.000	UNITED SECURITY	           00	           0	      30.000	         1980
	      0068	A		AW00000068	1 (11) 500 555-0184	SPECIALTY BIKE SHOP	          40	A	         2007	         2008	ROAD	AUF DER STEIGE 29	   1.500.000	PRIMARY BANK & RESERVE	           01	           0	     150.000	         1986
	      0069	A		AW00000069	1 (11) 500 555-0113	WAREHOUSE	          88	Q	         2007	         2008	TOURING	65 EPPING RD	   3.000.000	GUARDIAN BANK	           02	           0	     300.000	         1979
	      0070	A		AW00000070	1 (11) 500 555-0122	VALUE ADDED RESELLER	           3	S	         2007	         2008	ROAD	255 IRVING STREET	     300.000	RESERVE SECURITY	           03	         600	      30.000	         1985
	      0071	A		AW00000071	513-555-0149	SPECIALTY BIKE SHOP	          39	A	         0000	         0000	MOUNTAIN	225 HYDE RD	   1.500.000	INTERNATIONAL BANK	           00	           0	     150.000	         1978
	      0072	A		AW00000072	820-555-0166	WAREHOUSE	          89	Q	         2006	         2008	ROAD	6 COTTON ROAD	   3.000.000	INTERNATIONAL SECURITY	           01	           0	     300.000	         1984
	      0073	A		AW00000073	107-555-0132	VALUE ADDED RESELLER	           2	S	         2005	         2007	MOUNTAIN	GREAT NORTHWESTERN	     300.000	PRIMARY INTERNATIONAL	           02	           0	      30.000	         1977
	      0074	A		AW00000074	162-555-0166	SPECIALTY BIKE SHOP	          38	A	         2005	         2005	ROAD	WASHINGTON SQUARE	   1.500.000	UNITED SECURITY	           03	         600	     150.000	         1983
	      0075	A		AW00000075	358-555-0188	WAREHOUSE	          90	Q	         2005	         2008	MOUNTAIN	CORPORATE OFFICE	   3.000.000	PRIMARY BANK & RESERVE	           03	       1.000	     300.000	         1976
	      0076	A		AW00000076	265-555-0190	VALUE ADDED RESELLER	           4	S	         0000	         0000	MOUNTAIN	25269 N. WOOD DALE RD	     300.000	GUARDIAN BANK	           02	           0	      30.000	         1982
	      0077	A		AW00000077	128-555-0148	SPECIALTY BIKE SHOP	          37	A	         2006	         2008	ROAD	22555 PASEO DE LAS AMERICAS	   1.500.000	RESERVE SECURITY	           01	           0	     150.000	         1975
	      0078	A		AW00000078	819-555-0186	WAREHOUSE	          91	Q	         2005	         2007	ROAD	INCOM SPORTS CENTER	   3.000.000	INTERNATIONAL BANK	           00	           0	     300.000	         1981
	      0079	A		AW00000079	996-555-0192	VALUE ADDED RESELLER	           6	S	         2006	         2008	ROAD	C/O STARPAK, INC.	     300.000	INTERNATIONAL SECURITY	           01	           0	      30.000	         1974
	      0080	A		AW00000080	581-555-0189	SPECIALTY BIKE SHOP	          36	A	         2007	         2008	TOURING	ONE EQUINOX WAY	   1.500.000	PRIMARY INTERNATIONAL	           02	           0	     150.000	         1980
	      0081	A		AW00000081	175-555-0198	WAREHOUSE	          92	Q	         2006	         2008	ROAD	2561 NW 8410TH AVENUE	   3.000.000	UNITED SECURITY	           03	         600	     300.000	         1991
	      0082	A		AW00000082	814-555-0130	VALUE ADDED RESELLER	           8	S	         0000	         0000	ROAD	5250-505 BURNING ST	     300.000	PRIMARY BANK & RESERVE	           00	           0	      30.000	         1979
	      0083	A		AW00000083	644-555-0114	SPECIALTY BIKE SHOP	          35	A	         2005	         2006	ROAD	600 SLATER STREET	   1.500.000	GUARDIAN BANK	           01	           0	     150.000	         1992
	      0084	A		AW00000084	752-555-0185	WAREHOUSE	          93	Q	         2005	         2008	ROAD	25575 THE QUEENSWAY	   3.000.000	RESERVE SECURITY	           02	           0	     300.000	         1978
	      0085	A		AW00000085	1 (11) 500 555-0170	VALUE ADDED RESELLER	          10	S	         2007	         2008	TOURING	121, RUE DE VARENNE	     800.000	INTERNATIONAL BANK	           03	         600	      80.000	         1974
	      0086	A		AW00000086	1 (11) 500 555-0163	SPECIALTY BIKE SHOP	          34	A	         2007	         2008	TOURING	HELLWEG 4934	   1.500.000	INTERNATIONAL SECURITY	           03	         600	     150.000	         1976
	      0087	A		AW00000087	1 (11) 500 555-0118	WAREHOUSE	          94	Q	         2007	         2008	TOURING	99 - 6 ORION ROAD	   3.000.000	PRIMARY INTERNATIONAL	           02	           0	     300.000	         1978
	      0088	A		AW00000088	1 (11) 500 555-0173	VALUE ADDED RESELLER	          12	S	         2007	         2008	MOUNTAIN	GARAMONDE DRIVE, WYMBUSH	     800.000	UNITED SECURITY	           01	           0	      80.000	         1980
	      0089	A		AW00000089	268-555-0184	SPECIALTY BIKE SHOP	          33	A	         2006	         2008	ROAD	5998 E LORAIN	   1.500.000	PRIMARY BANK & RESERVE	           00	           0	     150.000	         1982
	      0090	A		AW00000090	572-555-0156	WAREHOUSE	          95	Q	         2006	         2008	ROAD	CORPORATE OFC A/P	   3.000.000	GUARDIAN BANK	           01	           0	     300.000	         1984
	      0091	A		AW00000091	810-555-0198	VALUE ADDED RESELLER	          14	S	         2005	         2006	ROAD	258101 NW EVERGREEN PARKWAY	     800.000	RESERVE SECURITY	           02	           0	      80.000	         1986
	      0092	A		AW00000092	646-555-0137	SPECIALTY BIKE SHOP	          32	A	         2005	         2006	MOUNTAIN	253950 N.E. 178TH PLACE	   1.500.000	INTERNATIONAL BANK	           03	         600	     150.000	         1988
	      0093	A		AW00000093	138-555-0156	WAREHOUSE	          96	Q	         2005	         2006	ROAD	SAPP ROAD WEST	   3.000.000	INTERNATIONAL SECURITY	           00	           0	     300.000	         1990
	      0094	A		AW00000094	556-555-0192	VALUE ADDED RESELLER	          16	S	         2006	         2008	MOUNTAIN	52500 LIBERTY WAY	     800.000	PRIMARY INTERNATIONAL	           01	           0	      80.000	         1992
	      0095	A		AW00000095	716-555-0167	SPECIALTY BIKE SHOP	          31	A	         2007	         2008	TOURING	5967 W LAS POSITAS BLVD	   1.500.000	UNITED SECURITY	           02	           0	     150.000	         1994
	      0096	A		AW00000096	354-555-0130	WAREHOUSE	          97	Q	         2005	         2006	ROAD	25600 E ST ANDREWS PL	   3.000.000	PRIMARY BANK & RESERVE	           03	         600	     300.000	         1996
	      0097	A		AW00000097	136-555-0134	VALUE ADDED RESELLER	          18	S	         2006	         2008	ROAD	6756 MOWRY	     800.000	GUARDIAN BANK	           03	         200	      80.000	         1998
	      0098	A		AW00000098	752-555-0187	SPECIALTY BIKE SHOP	          30	A	         2006	         2008	MOUNTAIN	8525 NW 17TH ST.	   1.500.000	RESERVE SECURITY	           02	           0	     150.000	         2000
	      0099	A		AW00000099	296-555-0171	WAREHOUSE	          98	Q	         2005	         2008	MOUNTAIN	9876 FRUITVILLE RD	   3.000.000	INTERNATIONAL BANK	           01	           0	     300.000	         2002
	      0100	A		AW00000100	979-555-0163	VALUE ADDED RESELLER	          20	S	         2007	         2008	MOUNTAIN	2521 MCPHERSON STREET	   1.000.000	INTERNATIONAL SECURITY	           00	           0	     100.000	         2004
	      0101	A		AW00000101	383-555-0111	SPECIALTY BIKE SHOP	          29	A	         2006	         2008	ROAD	2560 BAY STREET	   1.000.000	PRIMARY INTERNATIONAL	           01	           0	     100.000	         2005
	      0102	A		AW00000102	493-555-0134	WAREHOUSE	          99	Q	         2005	         2007	ROAD	630 UNIVERSITY AVENUE	   3.000.000	UNITED SECURITY	           02	           0	     300.000	         2003
	      0103	A		AW00000103	1 (11) 500 555-0131	VALUE ADDED RESELLER	          19	S	         2007	         2008	TOURING	22, RUE DU D?PART	     800.000	PRIMARY BANK & RESERVE	           03	         600	      80.000	         2004
	      0104	A		AW00000104	1 (11) 500 555-0117	SPECIALTY BIKE SHOP	          28	A	         2007	         2008	ROAD	KURF?RSTENSTR 9	   1.000.000	GUARDIAN BANK	           00	           0	     100.000	         1975
	      0105	A		AW00000105	1 (11) 500 555-0119	WAREHOUSE	         100	Q	         0000	         0000	MOUNTAIN	2565-175 MITCHELL ROAD	   3.000.000	RESERVE SECURITY	           01	           0	     300.000	         2003
	      0106	A		AW00000106	1 (11) 500 555-0120	VALUE ADDED RESELLER	          18	S	         2007	         2008	TOURING	251 THE METRO CENTER	     800.000	INTERNATIONAL BANK	           02	           0	      80.000	         1979
	      0107	A		AW00000107	652-555-0115	SPECIALTY BIKE SHOP	          27	A	         2005	         2008	ROAD	58 TEED DRIVE	   1.000.000	INTERNATIONAL SECURITY	           03	         600	     100.000	         2002
	      0108	A		AW00000108	195-555-0196	WAREHOUSE	          66	Q	         2006	         2008	ROAD	63 BADGERS ISLAND WEST	   3.000.000	PRIMARY INTERNATIONAL	           03	       1.000	     300.000	         1983
	      0109	A		AW00000109	247-555-0197	VALUE ADDED RESELLER	          17	S	         2007	         2008	MOUNTAIN	755 NW GRANDSTAND	     800.000	UNITED SECURITY	           02	           0	      80.000	         2001
	      0110	A		AW00000110	464-555-0188	VALUE ADDED RESELLER	           2	S	         2007	         2008	TOURING	22571 SOUTH 2500 EAST	     300.000	PRIMARY BANK & RESERVE	           01	           0	      30.000	         1974
	      0111	A		AW00000111	119-555-0144	SPECIALTY BIKE SHOP	          10	A	         2005	         2006	ROAD	25550 EXECUTIVE DR	     800.000	GUARDIAN BANK	           00	           0	      80.000	         1976
	      0112	A		AW00000112	803-555-0116	WAREHOUSE	          40	Q	         2007	         2008	TOURING	P.O. BOX 6256916	   1.500.000	RESERVE SECURITY	           01	           0	     150.000	         1978
	      0113	A		AW00000113	273-555-0111	VALUE ADDED RESELLER	           5	S	         2007	         2008	TOURING	25472 MARLAY AVE	     300.000	INTERNATIONAL BANK	           02	           0	      30.000	         1980
	      0114	A		AW00000114	397-555-0144	SPECIALTY BIKE SHOP	          13	A	         2005	         2006	ROAD	77 BEALE STREET	     800.000	INTERNATIONAL SECURITY	           03	         600	      80.000	         1982
	      0115	A		AW00000115	699-555-0183	WAREHOUSE	          43	Q	         2006	         2008	MOUNTAIN	910 MAIN STREET.	   1.500.000	PRIMARY INTERNATIONAL	           00	           0	     150.000	         1984
	      0116	A		AW00000116	699-555-0184	VALUE ADDED RESELLER	           8	S	         2005	         2008	ROAD	42500 WEST PARK DRIVE	     300.000	UNITED SECURITY	           01	           0	      30.000	         1986
	      0117	A		AW00000117	987-555-0126	SPECIALTY BIKE SHOP	          16	A	         2005	         2008	ROAD	6055 SHAWNEE INDUSTRIAL WAY	     800.000	PRIMARY BANK & RESERVE	           02	           0	      80.000	         1988
	      0118	A		AW00000118	316-555-0138	WAREHOUSE	          46	Q	         2005	         2008	MOUNTAIN	992 ST CLAIR AVE EAST	   1.500.000	GUARDIAN BANK	           03	         600	     150.000	         1990
	      0119	A		AW00000119	667-555-0112	VALUE ADDED RESELLER	          11	S	         2005	         2008	MOUNTAIN	99, RUE SAINT-PIERRE	     800.000	RESERVE SECURITY	           03	         200	      80.000	         1992
	      0120	A		AW00000120	292-555-0128	SPECIALTY BIKE SHOP	          19	A	         2007	         2008	TOURING	25245 RUE SHERBROOKE OUEST	     800.000	INTERNATIONAL BANK	           02	           0	      80.000	         1994
	      0121	A		AW00000121	1 (11) 500 555-0167	WAREHOUSE	          49	Q	         2006	         2008	MOUNTAIN	6, RUE DES PYRENEES	   1.500.000	INTERNATIONAL SECURITY	           00	           0	     150.000	         1996
	      0122	A		AW00000122	1 (11) 500 555-0114	VALUE ADDED RESELLER	          14	S	         2007	         2008	TOURING	POSTFACH 11 09 00	     800.000	PRIMARY INTERNATIONAL	           00	           0	      80.000	         1998
	      0123	A		AW00000123	1 (11) 500 555-0140	SPECIALTY BIKE SHOP	          22	A	         2007	         2008	TOURING	CHABBELL PARK	   1.000.000	UNITED SECURITY	           01	           0	     100.000	         2000
	      0124	A		AW00000124	1 (11) 500 555-0176	WAREHOUSE	          52	Q	         2006	         2008	ROAD	BRADFORD	   3.000.000	PRIMARY BANK & RESERVE	           02	           0	     300.000	         2002
	      0125	A		AW00000125	246-555-0110	VALUE ADDED RESELLER	          17	S	         2006	         2008	MOUNTAIN	9963 TRESSER BLVD.	     800.000	GUARDIAN BANK	           03	         600	      80.000	         2004
	      0126	A		AW00000126	159-555-0190	SPECIALTY BIKE SHOP	          25	A	         2005	         2008	ROAD	P.O. BOX 9005	   1.000.000	RESERVE SECURITY	           00	           0	     100.000	         2005
	      0127	A		AW00000127	119-555-0195	WAREHOUSE	          55	Q	         2006	         2007	MOUNTAIN	257700 NE 76TH STREET	   3.000.000	INTERNATIONAL BANK	           01	           0	     300.000	         2003
	      0128	A		AW00000128	799-555-0118	VALUE ADDED RESELLER	          20	S	         2006	         2008	ROAD	25102 SPRINGWATER	   1.000.000	INTERNATIONAL SECURITY	           02	           0	     100.000	         2004
	      0129	A		AW00000129	426-555-0181	SPECIALTY BIKE SHOP	          28	A	         2005	         2005	ROAD	25269 WOOD DALE RD.	   1.000.000	PRIMARY INTERNATIONAL	           03	         600	     100.000	         1975
	      0130	A		AW00000130	380-555-0116	WAREHOUSE	          58	Q	         2006	         2007	ROAD	PO BOX 8259024	   3.000.000	UNITED SECURITY	           03	       1.000	     300.000	         2003
	      0131	A		AW00000131	785-555-0163	VALUE ADDED RESELLER	          19	S	         2007	         2008	TOURING	2500 N SERENE BLVD	     800.000	PRIMARY BANK & RESERVE	           02	           0	      80.000	         1979
