06.06.25 Dynamic List Display                                                  1


	/BIC/MD_PROD	TXTMD
	        0134	Lock Nut 3
	        0135	Lock Nut 14
	        0136	Lock Nut 15
	        0137	Lock Nut 4
	        0138	Lock Nut 19
	        0139	Lock Nut 18
	        0140	Lock Ring
	        0141	Lower Head Race
	        0142	Lock Washer 4
	        0143	Lock Washer 5
	        0144	Lock Washer 10
	        0145	Lock Washer 6
	        0146	Lock Washer 13
	        0147	Lock Washer 8
	        0148	Lock Washer 1
	        0149	Lock Washer 7
	        0150	Lock Washer 12
	        0151	Lock Washer 2
	        0152	Lock Washer 9
	        0153	Lock Washer 3
	        0154	Lock Washer 11
	        0155	Metal Angle
	        0156	Metal Bar 1
	        0157	Metal Bar 2
	        0158	Metal Plate 2
	        0159	Metal Plate 1
	        0160	Metal Plate 3
	        0161	Metal Sheet 2
	        0162	Metal Sheet 3
	        0163	Metal Sheet 7
	        0164	Metal Sheet 4
	        0165	Metal Sheet 5
	        0166	Metal Sheet 6
	        0167	Metal Sheet 1
	        0168	Metal Tread Plate
	        0169	LL Nipple
	        0170	HL Nipple
	        0171	Paint - Black
	        0172	Paint - Red
	        0173	Paint - Silver
	        0174	Paint - Blue
	        0175	Paint - Yellow
	        0176	Pinch Bolt
	        0177	Cup-Shaped Race
	        0178	Cone-Shaped Race
	        0179	Reflector
	        0180	LL Mountain Rim
	        0181	ML Mountain Rim
	        0182	HL Mountain Rim
	        0183	LL Road Rim
	        0184	ML Road Rim
	        0185	HL Road Rim
	        0186	Touring Rim
	        0187	LL Mountain Seat Assembly
	        0188	ML Mountain Seat Assembly
	        0189	HL Mountain Seat Assembly
	        0190	LL Road Seat Assembly
	        0191	ML Road Seat Assembly
	        0192	HL Road Seat Assembly
	        0193	LL Touring Seat Assembly
	        0194	ML Touring Seat Assembly
	        0195	HL Touring Seat Assembly
	        0196	LL Spindle/Axle
	        0197	HL Spindle/Axle
	        0198	LL Shell
	        0199	HL Shell
	        0200	Spokes
	        0201	Seat Lug
	        0202	Stem
	        0203	Seat Post
	        0204	Steerer
	        0205	Seat Stays
	        0206	Seat Tube
	        0207	Top Tube
	        0208	Tension Pulley
	        0209	Rear Derailleur Cage
	        0210	HL Road Frame - Black, 58
	        0211	HL Road Frame - Red, 58
	        0212	Sport-100 Helmet, Red
	        0213	Sport-100 Helmet, Red
	        0214	Sport-100 Helmet, Red
	        0215	Sport-100 Helmet, Black
	        0216	Sport-100 Helmet, Black
	        0217	Sport-100 Helmet, Black
	        0218	Mountain Bike Socks, M
	        0219	Mountain Bike Socks, L
	        0220	Sport-100 Helmet, Blue
	        0221	Sport-100 Helmet, Blue
	        0222	Sport-100 Helmet, Blue
	        0223	AWC Logo Cap
	        0224	AWC Logo Cap
	        0225	AWC Logo Cap
	        0226	Long-Sleeve Logo Jersey, S
	        0227	Long-Sleeve Logo Jersey, S
	        0228	Long-Sleeve Logo Jersey, S
	        0229	Long-Sleeve Logo Jersey, M
	        0230	Long-Sleeve Logo Jersey, M
	        0231	Long-Sleeve Logo Jersey, M
	        0232	Long-Sleeve Logo Jersey, L
	        0233	Long-Sleeve Logo Jersey, L
	        0234	Long-Sleeve Logo Jersey, L
	        0235	Long-Sleeve Logo Jersey, XL
	        0236	Long-Sleeve Logo Jersey, XL
	        0237	Long-Sleeve Logo Jersey, XL
	        0238	HL Road Frame - Red, 62
	        0239	HL Road Frame - Red, 62
	        0240	HL Road Frame - Red, 62
	        0241	HL Road Frame - Red, 44
	        0242	HL Road Frame - Red, 44
	        0243	HL Road Frame - Red, 44
	        0244	HL Road Frame - Red, 48
	        0245	HL Road Frame - Red, 48
	        0246	HL Road Frame - Red, 48
	        0247	HL Road Frame - Red, 52
	        0248	HL Road Frame - Red, 52
	        0249	HL Road Frame - Red, 52
	        0250	HL Road Frame - Red, 56
	        0251	HL Road Frame - Red, 56
	        0252	HL Road Frame - Red, 56
	        0253	LL Road Frame - Black, 58
	        0254	LL Road Frame - Black, 58
	        0255	LL Road Frame - Black, 58
	        0256	LL Road Frame - Black, 60
	        0257	LL Road Frame - Black, 60
	        0258	LL Road Frame - Black, 60
	        0259	LL Road Frame - Black, 62
	        0260	LL Road Frame - Black, 62
	        0261	LL Road Frame - Black, 62
	        0262	LL Road Frame - Red, 44
	        0263	LL Road Frame - Red, 44
	        0264	LL Road Frame - Red, 48
	        0265	LL Road Frame - Red, 48
	        0266	LL Road Frame - Red, 52
	        0267	LL Road Frame - Red, 52
	        0268	LL Road Frame - Red, 58
	        0269	LL Road Frame - Red, 58
	        0270	LL Road Frame - Red, 60
	        0271	LL Road Frame - Red, 60
	        0272	LL Road Frame - Red, 62
	        0273	LL Road Frame - Red, 62
	        0274	ML Road Frame - Red, 44
	        0275	ML Road Frame - Red, 48
	        0276	ML Road Frame - Red, 52
	        0277	ML Road Frame - Red, 58
	        0278	ML Road Frame - Red, 60
	        0279	LL Road Frame - Black, 44
	        0280	LL Road Frame - Black, 44
	        0281	LL Road Frame - Black, 44
	        0282	LL Road Frame - Black, 48
	        0283	LL Road Frame - Black, 48
	        0284	LL Road Frame - Black, 48
	        0285	LL Road Frame - Black, 52
	        0286	LL Road Frame - Black, 52
	        0287	LL Road Frame - Black, 52
	        0288	HL Mountain Frame - Silver, 42
	        0289	HL Mountain Frame - Silver, 42
	        0290	HL Mountain Frame - Silver, 42
	        0291	HL Mountain Frame - Silver, 44
	        0292	HL Mountain Frame - Silver, 48
	        0293	HL Mountain Frame - Silver, 46
	        0294	HL Mountain Frame - Silver, 46
	        0295	HL Mountain Frame - Silver, 46
	        0296	HL Mountain Frame - Black, 42
	        0297	HL Mountain Frame - Black, 42
	        0298	HL Mountain Frame - Black, 42
	        0299	HL Mountain Frame - Black, 44
	        0300	HL Mountain Frame - Black, 48
	        0301	HL Mountain Frame - Black, 46
	        0302	HL Mountain Frame - Black, 46
	        0303	HL Mountain Frame - Black, 46
	        0304	HL Mountain Frame - Black, 38
	        0305	HL Mountain Frame - Black, 38
	        0306	HL Mountain Frame - Black, 38
	        0307	HL Mountain Frame - Silver, 38
	        0308	HL Mountain Frame - Silver, 38
	        0309	HL Mountain Frame - Silver, 38
	        0310	Road-150 Red, 62
	        0311	Road-150 Red, 44
	        0312	Road-150 Red, 48
	        0313	Road-150 Red, 52
	        0314	Road-150 Red, 56
	        0315	Road-450 Red, 58
	        0316	Road-450 Red, 60
	        0317	Road-450 Red, 44
	        0318	Road-450 Red, 48
	        0319	Road-450 Red, 52
	        0320	Road-650 Red, 58
	        0321	Road-650 Red, 58
	        0322	Road-650 Red, 60
	        0323	Road-650 Red, 60
	        0324	Road-650 Red, 62
	        0325	Road-650 Red, 62
	        0326	Road-650 Red, 44
	        0327	Road-650 Red, 44
	        0328	Road-650 Red, 48
	        0329	Road-650 Red, 48
	        0330	Road-650 Red, 52
	        0331	Road-650 Red, 52
	        0332	Road-650 Black, 58
	        0333	Road-650 Black, 58
	        0334	Road-650 Black, 60
	        0335	Road-650 Black, 60
	        0336	Road-650 Black, 62
	        0337	Road-650 Black, 62
	        0338	Road-650 Black, 44
	        0339	Road-650 Black, 44
	        0340	Road-650 Black, 48
	        0341	Road-650 Black, 48
	        0342	Road-650 Black, 52
	        0343	Road-650 Black, 52
	        0344	Mountain-100 Silver, 38
	        0345	Mountain-100 Silver, 42
	        0346	Mountain-100 Silver, 44
	        0347	Mountain-100 Silver, 48
	        0348	Mountain-100 Black, 38
	        0349	Mountain-100 Black, 42
	        0350	Mountain-100 Black, 44
	        0351	Mountain-100 Black, 48
	        0352	Mountain-200 Silver, 38
	        0353	Mountain-200 Silver, 38
	        0354	Mountain-200 Silver, 42
	        0355	Mountain-200 Silver, 42
	        0356	Mountain-200 Silver, 46
	        0357	Mountain-200 Silver, 46
	        0358	Mountain-200 Black, 38
	        0359	Mountain-200 Black, 38
	        0360	Mountain-200 Black, 42
	        0361	Mountain-200 Black, 42
	        0362	Mountain-200 Black, 46
	        0363	Mountain-200 Black, 46
	        0364	Mountain-300 Black, 38
	        0365	Mountain-300 Black, 40
	        0366	Mountain-300 Black, 44
	        0367	Mountain-300 Black, 48
	        0368	Road-250 Red, 44
	        0369	Road-250 Red, 48
	        0370	Road-250 Red, 52
	        0371	Road-250 Red, 58
	        0372	Road-250 Red, 58
	        0373	Road-250 Black, 44
	        0374	Road-250 Black, 44
	        0375	Road-250 Black, 48
	        0376	Road-250 Black, 48
	        0377	Road-250 Black, 52
	        0378	Road-250 Black, 52
	        0379	Road-250 Black, 58
	        0380	Road-250 Black, 58
	        0381	Road-550-W Yellow, 38
	        0382	Road-550-W Yellow, 38
	        0383	Road-550-W Yellow, 40
	        0384	Road-550-W Yellow, 40
	        0385	Road-550-W Yellow, 42
	        0386	Road-550-W Yellow, 42
	        0387	Road-550-W Yellow, 44
	        0388	Road-550-W Yellow, 44
	        0389	Road-550-W Yellow, 48
	        0390	Road-550-W Yellow, 48
	        0391	LL Fork
	        0392	ML Fork
	        0393	HL Fork
	        0394	LL Headset
	        0395	ML Headset
	        0396	HL Headset
	        0397	LL Mountain Handlebars
	        0398	LL Mountain Handlebars
	        0399	ML Mountain Handlebars
	        0400	ML Mountain Handlebars
	        0401	HL Mountain Handlebars
	        0402	HL Mountain Handlebars
	        0403	LL Road Handlebars
	        0404	LL Road Handlebars
	        0405	ML Road Handlebars
	        0406	ML Road Handlebars
	        0407	HL Road Handlebars
	        0408	HL Road Handlebars
	        0409	ML Mountain Frame - Black, 38
	        0410	LL Mountain Front Wheel
	        0411	ML Mountain Front Wheel
	        0412	HL Mountain Front Wheel
	        0413	LL Road Front Wheel
	        0414	ML Road Front Wheel
	        0415	HL Road Front Wheel
	        0416	Touring Front Wheel
	        0417	ML Road Frame-W - Yellow, 38
	        0418	ML Road Frame-W - Yellow, 38
	        0419	LL Mountain Rear Wheel
	        0420	ML Mountain Rear Wheel
	        0421	HL Mountain Rear Wheel
	        0422	LL Road Rear Wheel
	        0423	ML Road Rear Wheel
	        0424	HL Road Rear Wheel
	        0425	Touring Rear Wheel
	        0426	ML Mountain Frame - Black, 40
	        0427	ML Mountain Frame - Black, 44
	        0428	ML Mountain Frame - Black, 48
	        0429	ML Road Frame-W - Yellow, 40
	        0430	ML Road Frame-W - Yellow, 40
	        0431	ML Road Frame-W - Yellow, 42
	        0432	ML Road Frame-W - Yellow, 42
	        0433	ML Road Frame-W - Yellow, 44
	        0434	ML Road Frame-W - Yellow, 44
	        0435	ML Road Frame-W - Yellow, 48
	        0436	ML Road Frame-W - Yellow, 48
	        0437	HL Road Frame - Black, 62
	        0438	HL Road Frame - Black, 62
	        0439	HL Road Frame - Black, 44
	        0440	HL Road Frame - Black, 44
	        0441	HL Road Frame - Black, 48
	        0442	HL Road Frame - Black, 48
	        0443	HL Road Frame - Black, 52
	        0444	HL Road Frame - Black, 52
	        0445	Men's Sports Shorts, S
	        0446	Touring-Panniers, Large
	        0447	Cable Lock
	        0448	Minipump
	        0449	Mountain Pump
	        0450	Taillights - Battery-Powered
	        0451	Headlights - Dual-Beam
	        0452	Headlights - Weatherproof
	        0453	Men's Sports Shorts, M
	        0454	Men's Sports Shorts, L
	        0455	Men's Sports Shorts, XL
	        0456	Women's Tights, S
	        0457	Women's Tights, M
	        0458	Women's Tights, L
	        0459	Men's Bib-Shorts, S
	        0460	Men's Bib-Shorts, M
	        0461	Men's Bib-Shorts, L
	        0462	Half-Finger Gloves, S
	        0463	Half-Finger Gloves, S
	        0464	Half-Finger Gloves, M
	        0465	Half-Finger Gloves, M
	        0466	Half-Finger Gloves, L
	        0467	Half-Finger Gloves, L
	        0468	Full-Finger Gloves, S
	        0469	Full-Finger Gloves, M
	        0470	Full-Finger Gloves, L
	        0471	Classic Vest, S
	        0472	Classic Vest, M
	        0473	Classic Vest, L
	        0474	Women's Mountain Shorts, S
	        0475	Women's Mountain Shorts, M
	        0476	Women's Mountain Shorts, L
	        0477	Water Bottle - 30 oz.
	        0478	Mountain Bottle Cage
	        0479	Road Bottle Cage
	        0480	Patch Kit/8 Patches
	        0481	Racing Socks, M
	        0482	Racing Socks, L
	        0483	Hitch Rack - 4-Bike
	        0484	Bike Wash - Dissolver
	        0485	Fender Set - Mountain
	        0486	All-Purpose Bike Stand
	        0487	Hydration Pack - 70 oz.
	        0488	Short-Sleeve Classic Jersey, S
	        0489	Short-Sleeve Classic Jersey, M
	        0490	Short-Sleeve Classic Jersey, L
	        0491	Short-Sleeve Classic Jersey, XL
	        0492	HL Touring Frame - Yellow, 60
	        0493	LL Touring Frame - Yellow, 62
	        0494	HL Touring Frame - Yellow, 46
	        0495	HL Touring Frame - Yellow, 50
	        0496	HL Touring Frame - Yellow, 54
	        0497	HL Touring Frame - Blue, 46
	        0498	HL Touring Frame - Blue, 50
	        0499	HL Touring Frame - Blue, 54
	        0500	HL Touring Frame - Blue, 60
	        0501	Rear Derailleur
	        0502	LL Touring Frame - Blue, 50
	        0503	LL Touring Frame - Blue, 54
	        0504	LL Touring Frame - Blue, 58
	        0505	LL Touring Frame - Blue, 62
	        0506	LL Touring Frame - Yellow, 44
	        0507	LL Touring Frame - Yellow, 50
	        0508	LL Touring Frame - Yellow, 54
	        0509	LL Touring Frame - Yellow, 58
	        0510	LL Touring Frame - Blue, 44
	        0511	ML Mountain Frame-W - Silver, 40
	        0512	ML Mountain Frame-W - Silver, 42
	        0513	ML Mountain Frame-W - Silver, 46
	        0514	Rear Brakes
	        0515	LL Mountain Seat/Saddle
	        0516	ML Mountain Seat/Saddle
	        0517	HL Mountain Seat/Saddle
	        0518	LL Road Seat/Saddle
	        0519	ML Road Seat/Saddle
	        0520	HL Road Seat/Saddle
	        0521	LL Touring Seat/Saddle
	        0522	ML Touring Seat/Saddle
	        0523	HL Touring Seat/Saddle
	        0524	LL Mountain Frame - Silver, 42
	        0525	LL Mountain Frame - Silver, 44
	        0526	LL Mountain Frame - Silver, 48
	        0527	LL Mountain Frame - Silver, 52
	        0528	Mountain Tire Tube
	        0529	Road Tire Tube
	        0530	Touring Tire Tube
	        0531	LL Mountain Frame - Black, 42
	        0532	LL Mountain Frame - Black, 44
	        0533	LL Mountain Frame - Black, 48
	        0534	LL Mountain Frame - Black, 52
	        0535	LL Mountain Tire
	        0536	ML Mountain Tire
	        0537	HL Mountain Tire
	        0538	LL Road Tire
	        0539	ML Road Tire
	        0540	HL Road Tire
	        0541	Touring Tire
	        0542	LL Mountain Pedal
	        0543	ML Mountain Pedal
	        0544	HL Mountain Pedal
	        0545	LL Road Pedal
	        0546	ML Road Pedal
	        0547	HL Road Pedal
	        0548	Touring Pedal
	        0549	ML Mountain Frame-W - Silver, 38
	        0550	LL Mountain Frame - Black, 40
	        0551	LL Mountain Frame - Silver, 40
	        0552	Front Derailleur
	        0553	LL Touring Handlebars
	        0554	HL Touring Handlebars
	        0555	Front Brakes
	        0556	LL Crankset
	        0557	ML Crankset
	        0558	HL Crankset
	        0559	Chain
	        0560	Touring-2000 Blue, 60
	        0561	Touring-1000 Yellow, 46
	        0562	Touring-1000 Yellow, 50
	        0563	Touring-1000 Yellow, 54
	        0564	Touring-1000 Yellow, 60
	        0565	Touring-3000 Blue, 54
	        0566	Touring-3000 Blue, 58
	        0567	Touring-3000 Blue, 62
	        0568	Touring-3000 Yellow, 44
	        0569	Touring-3000 Yellow, 50
	        0570	Touring-3000 Yellow, 54
	        0571	Touring-3000 Yellow, 58
	        0572	Touring-3000 Yellow, 62
	        0573	Touring-1000 Blue, 46
	        0574	Touring-1000 Blue, 50
	        0575	Touring-1000 Blue, 54
	        0576	Touring-1000 Blue, 60
	        0577	Touring-2000 Blue, 46
	        0578	Touring-2000 Blue, 50
	        0579	Touring-2000 Blue, 54
	        0580	Road-350-W Yellow, 40
	        0581	Road-350-W Yellow, 42
	        0582	Road-350-W Yellow, 44
	        0583	Road-350-W Yellow, 48
	        0584	Road-750 Black, 58
	        0585	Touring-3000 Blue, 44
	        0586	Touring-3000 Blue, 50
	        0587	Mountain-400-W Silver, 38
	        0588	Mountain-400-W Silver, 40
	        0589	Mountain-400-W Silver, 42
	        0590	Mountain-400-W Silver, 46
	        0591	Mountain-500 Silver, 40
	        0592	Mountain-500 Silver, 42
	        0593	Mountain-500 Silver, 44
	        0594	Mountain-500 Silver, 48
	        0595	Mountain-500 Silver, 52
	        0596	Mountain-500 Black, 40
	        0597	Mountain-500 Black, 42
	        0598	Mountain-500 Black, 44
	        0599	Mountain-500 Black, 48
	        0600	Mountain-500 Black, 52
	        0601	LL Bottom Bracket
	        0602	ML Bottom Bracket
	        0603	HL Bottom Bracket
	        0604	Road-750 Black, 44
	        0605	Road-750 Black, 48
	        0606	Road-750 Black, 52
